bedrooms,bathroom,balcony,parking,power_backup,bldg_age,furnishing,transit_score,Cement,Tiles,Wooden,Dont know,East,North,South,West,Bangalore,Chennai,Delhi,Faridabad,Ghaziabad,Gurgaon,Hyderabad,Mumbai,Noida,Pune,area,price
4,8,2.0,3,0,2,1,8.3,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,8.699514748210191,17.95067711470663
2,2,0.0,3,0,2,1,5.3,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,7.07326971745971,15.89495209964411
3,4,1.0,3,0,2,1,5.3,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,7.3777589082278725,18.064005800013632
4,7,2.0,1,2,2,1,-10.0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,7.824046010856292,16.64872390202049
4,3,3.0,3,0,3,1,8.6,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,8.055157731819678,16.523560759066484
4,7,1.0,3,0,2,1,8.6,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,8.006367567650246,17.909855120186375
3,3,2.0,1,0,2,1,7.9,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,7.495541943884256,16.213405830762646
1,1,0.0,3,2,6,1,5.3,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,6.396929655216146,14.914122846632385
2,2,0.0,3,0,3,1,8.2,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,6.309918278226516,14.508657738524219
3,3,0.0,2,0,6,1,5.3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7.575584651557793,16.811242831518264
2,2,2.0,3,0,3,0,8.3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7.081708586105575,15.990262279448435
3,3,2.0,3,1,2,1,8.3,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,7.29641326877392,16.38812278817138
2,2,0.0,1,0,2,1,5.3,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,6.802394763324311,15.341566861459324
2,2,1.0,3,0,2,1,8.0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,7.025538314638521,15.363073066680286
3,3,1.0,0,0,3,1,8.5,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5.298317366548036,15.319587954740548
3,3,2.0,3,2,6,0,8.6,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,7.615791072035833,16.523560759066484
4,1,1.0,1,0,2,1,4.7,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,7.272398392570047,16.588099280204055
3,6,0.0,1,0,6,0,8.7,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7.783224016336037,16.588099280204055
4,8,0.0,0,0,3,1,8.7,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,7.783224016336037,16.06680235657077
3,3,1.0,3,0,4,1,6.2,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7.090076835776092,16.11809565095832
4,4,0.0,0,0,2,0,5.7,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,7.600902459542082,17.553180176247643
4,6,1.0,3,0,2,1,6.8,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7.783224016336037,18.420680743952367
4,20,0.0,0,0,4,0,3.5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,8.25582842728183,16.811242831518264
4,6,2.0,3,0,2,1,5.1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,7.783224016336037,18.1567151981179
4,9,3.0,3,0,2,2,4.2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,8.612503371220562,17.4264284706085
3,2,1.0,1,0,2,0,3.9,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,7.090076835776092,15.89495209964411
4,9,3.0,3,0,2,1,8.5,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,7.783224016336037,18.09217667698033
4,22,0.0,1,0,6,0,8.7,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,8.542860938164814,17.341871082580436
4,3,1.0,1,0,6,0,8.6,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.313220387090301,15.84365880525656
4,10,4.0,3,0,3,1,5.9,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,6.492239835020471,16.588099280204055
3,14,5.0,3,2,5,1,4.1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,8.794824928014517,17.50439001207821
4,7,4.0,1,0,4,1,6.8,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,8.006367567650246,16.588099280204055
3,3,0.0,0,0,2,0,-10.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,6.907755278982137,15.404745763080856
4,10,3.0,3,2,2,2,6.8,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,7.649692623711514,17.50439001207821
3,3,0.0,3,0,6,0,5.3,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,7.313220387090301,16.70588231586044
2,2,1.0,3,2,3,1,8.3,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,7.088408778675395,15.761420707019587
1,1,0.0,3,0,4,1,8.3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,6.802394763324311,16.556350581889475
3,2,2.0,3,1,2,1,-10.0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,7.090076835776092,16.06680235657077
2,3,3.0,0,2,2,1,-10.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7.090076835776092,15.830413578506539
